ZoneID,Accessible_ha,Buffer,Threshold,Species,Area_ha,Accessible_pct
6,730999.74,1km,EqSS,Rparvifolia,27200985.61,2.69
10,687721.67,5km,DanumPlot,Rparvifolia,25639738.4,2.68
18,776839.17,1km,Omission,Rparvifolia,29760986.7,2.61
10,691698.04,5km,EqSS,Rparvifolia,26609557.92,2.6
8,95329.27,1km,EqSS,Rleprosula,3726955.452,2.56
17,674570.32,5km,Omission,Rleprosula,27344483.23,2.47
13,616636.92,1km,DanumPlot,Rparvifolia,25304078.06,2.44
12,101362.66,1km,DanumPlot,Rleprosula,4253712.394,2.38
6,738962.39,1km,Omission,Rparvifolia,31364734.43,2.36
13,617486.03,1km,EqSS,Rparvifolia,26260158.35,2.35
6,693784.84,1km,Omission,Rleprosula,29805049.58,2.33
7,602196.96,1km,DanumPlot,Rparvifolia,25850938.21,2.33
20,42538.55,1km,High08,Rparvifolia,1833699.819,2.32
19,605641.3,1km,Omission,Rleprosula,26530606.33,2.28
10,695570.14,5km,Omission,Rparvifolia,30754479.27,2.26
7,602210.96,1km,EqSS,Rparvifolia,26799181.75,2.25
4,573533.71,5km,DanumPlot,Rparvifolia,25498267.02,2.25
17,682005.18,5km,Omission,Rparvifolia,30779296.84,2.22
13,112312.35,5km,DanumPlot,Rleprosula,5096667.332,2.2
12,359340.13,1km,EqSS,Rleprosula,16420080.59,2.19
5,675717.2,5km,Omission,Rparvifolia,31375553.74,2.15
18,547090.14,1km,EqSS,Rparvifolia,25567424.65,2.14
21,291926.71,1km,High08,Rparvifolia,13810040.08,2.11
13,601602.32,1km,Omission,Rleprosula,28891871.8,2.08
12,541851.77,1km,DanumPlot,Rparvifolia,25991785.45,2.08
12,557263.36,1km,EqSS,Rparvifolia,26953992.79,2.07
7,600123.97,1km,Omission,Rleprosula,29469305.75,2.04
16,543191,1km,Omission,Rleprosula,26677014.55,2.04
13,617957.91,1km,Omission,Rparvifolia,30388794.05,2.03
2,550863.12,5km,EqSS,Rparvifolia,27133233.11,2.03
5,555880.05,5km,EqSS,Rparvifolia,27409720.24,2.03
2,2066.32,1km,DanumPlot,Rleprosula,102082.366,2.02
16,524113.2,1km,EqSS,Rparvifolia,25976675.32,2.02
16,492705.87,1km,DanumPlot,Rparvifolia,24998847.29,1.97
14,317849.79,1km,EqSS,Rleprosula,16275274.17,1.95
7,602210.96,1km,Omission,Rparvifolia,30939755.4,1.95
18,230655.92,5km,High08,Rparvifolia,11835915.84,1.95
20,507926,1km,Omission,Rleprosula,26518546.86,1.92
2,73681.48,1km,EqSS,Rleprosula,3850636.184,1.91
3,76.59,1km,DanumPlot,Rleprosula,4093.949444,1.87
16,563997.39,1km,Omission,Rparvifolia,30151439.3,1.87
5,478812.83,5km,DanumPlot,Rparvifolia,25794124.75,1.86
20,551146.35,1km,Omission,Rparvifolia,30025646.62,1.84
13,312573.72,1km,EqSS,Rleprosula,17137840.56,1.82
12,566875.42,1km,Omission,Rparvifolia,31100155.16,1.82
9,215351.19,1km,High08,Rparvifolia,11843683.79,1.82
18,441930.06,1km,DanumPlot,Rparvifolia,24562854.4,1.8
20,461753.4,1km,EqSS,Rparvifolia,25809018.44,1.79
12,491179.06,1km,Omission,Rleprosula,27555520.69,1.78
9,471895.26,1km,Omission,Rleprosula,27767805.24,1.7
4,503331.01,1km,Omission,Rleprosula,29730950.11,1.69
4,519723.01,1km,Omission,Rparvifolia,31159777.16,1.67
9,445029.62,1km,EqSS,Rparvifolia,26710380.53,1.67
9,413602.78,1km,DanumPlot,Rparvifolia,25484892.7,1.62
12,233284.97,1km,High08,Rparvifolia,14379636.47,1.62
20,399829.74,1km,DanumPlot,Rparvifolia,24764043.69,1.61
19,480600.51,1km,Omission,Rparvifolia,30048697.37,1.6
9,488688.42,1km,Omission,Rparvifolia,31202144,1.57
10,444410.41,5km,Omission,Rleprosula,29255122.27,1.52
2,388487.74,5km,DanumPlot,Rparvifolia,25670942.23,1.51
14,208814.37,5km,High08,Rparvifolia,14391734.96,1.45
10,224394.69,1km,High08,Rparvifolia,15944426.87,1.41
14,376170.57,1km,EqSS,Rparvifolia,27303038.23,1.38
14,349700.29,1km,DanumPlot,Rparvifolia,26247139.5,1.33
14,411899.86,1km,Omission,Rparvifolia,31449008.96,1.31
4,327655.07,1km,EqSS,Rparvifolia,26964941.2,1.22
2,367628.02,1km,Omission,Rleprosula,30342127.5,1.21
14,336313.03,1km,Omission,Rleprosula,27898642.62,1.21
2,358830.97,1km,Omission,Rparvifolia,31652408.78,1.13
19,286765.39,5km,EqSS,Rparvifolia,25830775.45,1.11
10,282199,1km,DanumPlot,Rparvifolia,25639738.4,1.1
